"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"294";"Cape Good Hope (not African one)";"-0.3457";"132.4212";"Tanjung Yamursba";NULL
"295";"Cape Good Success, Patagonia (C.S.Diego)";"-54.9333";"-65.3833";"Cabo Buen Suceso";NULL
"296";"Cape Guardafui, Somalia";"11.8333";"51.2833";"Ras Asir";NULL
"297";"Cape Guardaufi";"11.8333";"51.2833";"Ras Asir";NULL
"298";"Cape Hatteras";"35.25";"-75.52";"Cape Hatteras, NC/USA";NULL
"299";"Cape Henlopen";"38.8027";"-75.0948";"Cape Henlopen, Delaware, U.S.A.";NULL
"300";"Cape Henrietta Maria, Hudson Bay";"55.1412";"-82.3235";NULL;NULL
"301";"Cape Henry";"36.9258";"-76.0082";"Cape Henry, Virginia (near Norfolk)";NULL
"302";"Cape Horn";"-55.963";"-67.2798";NULL;NULL
"303";"Cape Infanta";"-34.4667";"20.8667";"Cape Infanta, South Africa";NULL
"304";"Cape Jaques";"25.6333";"57.7667";"Jask (Iran)";NULL
"305";"Cape Jasques (Jask), Iran";"25.6333";"57.7667";NULL;NULL
"306";"Cape Laguallas";"-34.83";"20";"Cape Agulhas";NULL
"307";"Cape Lagulas";"-34.83";"20";"Cape Agulhas";NULL
"308";"Cape Lagulias";"-34.83";"20";"Cape Agulhas";NULL
"309";"Cape Lagullas";"-34.83";"20";"Cape Agulhas";NULL
"310";"Cape Lahou";"5.1354";"-5.0099";NULL;NULL
"311";"Cape Legullus";"-34.83";"20";"Cape Agulhas";NULL
"312";"Cape Look out";"34.6228";"-76.5245";"Cape Lookout, NC/USA";NULL
"313";"Cape Lopez";"-0.6234";"8.7141";NULL;NULL
"314";"Cape Lougan";"0.35";"6.73";"North-east cape of Sao Tome.";NULL
"315";"Cape Maize";"20.245";"-74.15";"Cape Maysi";NULL
"316";"Cape May";"38.933";"-74.9604";"Cape May, New Jersey, U.S.A.";NULL
"317";"Cape Mola";"39.5328";"2.3666";"Cabo de la Mola";NULL
"318";"Cape Mollo";"39.5328";"2.3666";"Cabo de la Mola";NULL
"319";"Cape Monerado";"6.313";"-10.8165";"Cape Mesurado";NULL
"320";"Cape Moniferado";"6.313";"-10.8165";"Cape Mesurado";NULL
"321";"Cape Mount";"6.7239";"-11.3521";"Cape Mount";NULL
"322";"Cape Mozambique";"-15.0804";"40.6492";NULL;NULL
"323";"Cape Negobore";"30.1469";"-15.8659";"Ilha Selvagem Grande";NULL
"324";"Cape Negrais";"16.05";"94.2";"Cape Negrais";NULL
"325";"Cape Negrais, E Bay of Bengal, Myanmar";"16.05";"94.2";"Cape Negrais";NULL
"326";"Cape Negro";"43.5053";"-65.3454";"Cape Negro (Nova Scotia)";NULL
"327";"Cape Nicholas";"19.6892";"-73.4523";"Cap Nicolas, Haiti";NULL
"328";"Cape Nicholas Mole";"19.6892";"-73.4523";"Cap Nicolas, Haiti";NULL
"329";"Cape Nicholas, San Domingo";"19.6892";"-73.4523";"Cap Nicolas, Haiti";NULL
"330";"Cape of Good Hope";"-34.3569";"18.4966";NULL;NULL
"331";"Cape of Good Hope (bon Esperare)";"-34.3569";"18.4966";NULL;NULL
"332";"Cape of good Hope, (Bon Espare)";"-34.3569";"18.4966";NULL;NULL
"333";"Cape of Good Hope, New Guinea";"-0.3457";"132.4212";"Tanjung Yamursba";NULL
"334";"Cape of Good Hope, S Africa";"-34.3569";"18.4966";NULL;NULL
"335";"Cape of Spartel";"35.7875";"-5.9182";"Cap Spartel";NULL
"336";"Cape Ortugall (Ortegal)";"43.7716";"-7.87";"Cabo Ortegal";NULL
"337";"Cape Palmas";"4.3662";"-7.7281";"Cape Palmas";NULL
"338";"Cape Palmiras";"20.7649";"86.9886";"Palmyras Point";NULL
"339";"Cape Palmos";"4.3662";"-7.7281";"Cape Palmas";NULL
"340";"Cape Pembrook (Coats Isl), HB";"62.8648";"-82.1015";NULL;NULL
"341";"Cape Pillar";"-52.7652";"-74.6933";"Cabo Pilar";NULL
"342";"Cape Pinas";"43.6556";"-5.85";"Cabo Penas";NULL
"343";"Cape Pyne";"46.6156";"-53.5368";"Cape Pine, Newfoundland, Canada";NULL
"344";"Cape Race";"46.6595";"-53.0737";"Cape Race, NWFL";NULL
"345";"Cape Ramas";"-25.03";"47";NULL;NULL
"346";"Cape Ray";"47.6307";"-59.2964";"Cape Ray, Newfoundland, Canada";NULL
"347";"Cape Raysmas";"15.02";"73.9";NULL;NULL
